name,threads,time
overlapping-ranges,0,28.923
overlapping-ranges,1,37.15
overlapping-ranges,2,20.1552
overlapping-ranges,3,14.6157
overlapping-ranges,4,11.2878
overlapping-ranges,5,8.60561
overlapping-ranges,6,6.86792
overlapping-ranges,7,5.89452
overlapping-ranges,8,5.09895
overlapping-ranges,9,4.43225
overlapping-ranges,10,3.90171
overlapping-ranges,11,3.71348
overlapping-ranges,12,3.34594
overlapping-ranges,13,3.15857
overlapping-ranges,14,3.00327
overlapping-ranges,15,2.74487
overlapping-ranges,16,2.54054
pyramid-ranges,0,28.9467
pyramid-ranges,1,37.1613
pyramid-ranges,2,19.9442
pyramid-ranges,3,15.2382
pyramid-ranges,4,10.5143
pyramid-ranges,5,8.86475
pyramid-ranges,6,7.09954
pyramid-ranges,7,5.7047
pyramid-ranges,8,4.83202
pyramid-ranges,9,4.36541
pyramid-ranges,10,4.11796
pyramid-ranges,11,3.50677
pyramid-ranges,12,3.30948
pyramid-ranges,13,3.02539
pyramid-ranges,14,2.87634
pyramid-ranges,15,2.73681
pyramid-ranges,16,2.58608
increasing-ranges,0,28.918
increasing-ranges,1,43.704
increasing-ranges,2,23.6979
increasing-ranges,3,16.1793
increasing-ranges,4,12.397
increasing-ranges,5,9.87211
increasing-ranges,6,7.88642
increasing-ranges,7,6.87328
increasing-ranges,8,5.90908
increasing-ranges,9,5.28873
increasing-ranges,10,4.68884
increasing-ranges,11,4.39613
increasing-ranges,12,3.91422
increasing-ranges,13,3.74005
increasing-ranges,14,3.32237
increasing-ranges,15,3.14095
increasing-ranges,16,3.01275
max-balanced-substr,0, 13.4985
max-balanced-substr,1, 15.2858
max-balanced-substr,2, 7.62391
max-balanced-substr,3, 5.08209
max-balanced-substr,4, 3.81171
max-balanced-substr,5, 3.05574
max-balanced-substr,6, 2.55562
max-balanced-substr,7, 2.19605
max-balanced-substr,8, 1.92022
max-balanced-substr,9, 1.71793
max-balanced-substr,10, 1.57649
max-balanced-substr,11, 1.4315
max-balanced-substr,12, 1.2964
max-balanced-substr,13, 1.21454
max-balanced-substr,14, 1.1105
max-balanced-substr,15, 1.04476
max-balanced-substr,16, 0.975415
well-balanced,0, 24.4691
well-balanced,1, 34.9944
well-balanced,2, 17.7421
well-balanced,3, 12.2614
well-balanced,4, 9.05785
well-balanced,5, 7.33885
well-balanced,6, 6.16793
well-balanced,7, 5.22633
well-balanced,8, 4.57037
well-balanced,9, 4.07057
well-balanced,10, 3.65757
well-balanced,11, 3.28376
well-balanced,12, 3.05085
well-balanced,13, 2.80759
well-balanced,14, 2.62483
well-balanced,15, 2.43654
well-balanced,16, 2.26311
gradient1,0,14.5275
gradient1,1,12.8916
gradient1,2,6.50239
gradient1,3,4.3043
gradient1,4,3.21517
gradient1,5,2.58757
gradient1,6,2.13749
gradient1,7,1.81522
gradient1,8,1.62326
gradient1,9,1.45908
gradient1,10,1.29654
gradient1,11,1.18714
gradient1,12,1.08035
gradient1,13,0.992661
gradient1,14,0.944108
gradient1,15,0.860155
gradient1,16,0.808564
gradient1,17,0.788194
gradient1,18,0.716762
gradient1,19,0.678747
gradient1,20,0.6635
gradient1,21,0.620082
gradient1,22,0.586079
gradient1,23,0.562913
gradient1,24,0.540542
gradient1,25,0.526753
gradient1,26,0.496322
gradient1,27,0.475809
gradient1,28,0.463111
gradient1,29,0.445128
gradient1,30,0.458771
gradient1,31,0.422406
gradient1,32,0.409212
gradient2,0,12.9433
gradient2,1,12.9051
gradient2,2,6.49336
gradient2,3,4.28688
gradient2,4,3.21901
gradient2,5,2.57412
gradient2,6,2.1377
gradient2,7,1.80875
gradient2,8,1.61187
gradient2,9,1.45164
gradient2,10,1.29342
gradient2,11,1.186
gradient2,12,1.07756
gradient2,13,0.991053
gradient2,14,0.94284
gradient2,15,0.860547
gradient2,16,0.805884
gradient2,17,0.780524
gradient2,18,0.718361
gradient2,19,0.680357
gradient2,20,0.655409
gradient2,21,0.617269
gradient2,22,0.587735
gradient2,23,0.565218
gradient2,24,0.537428
gradient2,25,0.549964
gradient2,26,0.502345
gradient2,27,0.47885
gradient2,28,0.463799
gradient2,29,0.448999
gradient2,30,0.451835
gradient2,31,0.421189
gradient2,32,0.411219
minmax,0,25.813
minmax,1,26.7866
minmax,2,16.007
minmax,3,10.4768
minmax,4,8.48632
minmax,5,6.19494
minmax,6,5.47405
minmax,7,4.35136
minmax,8,3.96191
minmax,9,3.47884
minmax,10,2.8071
minmax,11,2.61263
minmax,12,2.77142
minmax,13,2.3822
minmax,14,2.1333
minmax,15,1.98812
minmax,16,2.08166
minmax,17,1.62799
minmax,18,1.47813
minmax,19,1.42814
minmax,20,1.39597
minmax,21,1.54838
minmax,22,1.50346
minmax,23,1.37526
minmax,24,1.24436
minmax,25,1.14651
minmax,26,1.1857
minmax,27,1.18366
minmax,28,0.98718
minmax,29,1.02449
minmax,30,1.1399
minmax,31,1.02313
minmax,32,1.01381
max-seg-strip,0,28.5953
max-seg-strip,1,36.5748
max-seg-strip,2,22.1756
max-seg-strip,3,18.0448
max-seg-strip,4,12.5837
max-seg-strip,5,8.54298
max-seg-strip,6,6.88231
max-seg-strip,7,6.06309
max-seg-strip,8,5.32525
max-seg-strip,9,4.93666
max-seg-strip,10,4.05281
max-seg-strip,11,3.82234
max-seg-strip,12,3.76723
max-seg-strip,13,2.98939
max-seg-strip,14,2.7338
max-seg-strip,15,2.53311
max-seg-strip,16,2.76651
max-seg-strip,17,2.37436
max-seg-strip,18,2.358
max-seg-strip,19,2.25605
max-seg-strip,20,2.11267
max-seg-strip,21,2.02519
max-seg-strip,22,1.91604
max-seg-strip,23,1.70968
max-seg-strip,24,1.85738
max-seg-strip,25,1.69771
max-seg-strip,26,1.6873
max-seg-strip,27,1.4896
max-seg-strip,28,1.40633
max-seg-strip,29,1.28918
max-seg-strip,30,1.29607
max-seg-strip,31,1.35511
max-seg-strip,32,1.23725
max-bottom-box,0,27.0027
max-bottom-box,1,29.6765
max-bottom-box,2,16.452
max-bottom-box,3,11.8856
max-bottom-box,4,8.35706
max-bottom-box,5,6.97955
max-bottom-box,6,5.40185
max-bottom-box,7,4.43146
max-bottom-box,8,4.04595
max-bottom-box,9,3.64907
max-bottom-box,10,3.21313
max-bottom-box,11,2.94243
max-bottom-box,12,2.7044
max-bottom-box,13,2.50822
max-bottom-box,14,2.31198
max-bottom-box,15,2.16044
max-bottom-box,16,1.99356
max-bottom-box,17,1.95344
max-bottom-box,18,1.81512
max-bottom-box,19,1.65796
max-bottom-box,20,1.64013
max-bottom-box,21,1.5709
max-bottom-box,22,1.38772
max-bottom-box,23,1.34129
max-bottom-box,24,1.29922
max-bottom-box,25,1.26738
max-bottom-box,26,1.19626
max-bottom-box,27,1.18357
max-bottom-box,28,1.14756
max-bottom-box,29,1.14177
max-bottom-box,30,1.06114
max-bottom-box,31,1.04381
max-bottom-box,32,0.999773
saddle-point,0,34.0106
saddle-point,1,41.6241
saddle-point,2,22.1455
saddle-point,3,15.3444
saddle-point,4,11.5791
saddle-point,5,9.53443
saddle-point,6,7.58243
saddle-point,7,6.24883
saddle-point,8,5.76777
saddle-point,9,5.17714
saddle-point,10,4.53395
saddle-point,11,4.07225
saddle-point,12,3.84447
saddle-point,13,3.55058
saddle-point,14,3.27114
saddle-point,15,3.10398
saddle-point,16,3.03389
saddle-point,17,2.8205
saddle-point,18,2.67298
saddle-point,19,2.67101
saddle-point,20,2.36327
saddle-point,21,2.38857
saddle-point,22,2.2739
saddle-point,23,2.15507
saddle-point,24,2.15197
saddle-point,25,1.99918
saddle-point,26,2.18183
saddle-point,27,2.04217
saddle-point,28,2.13657
saddle-point,29,2.01936
saddle-point,30,1.93006
saddle-point,31,2.18545
saddle-point,32,1.93092
mode,0,17.7854
mode,1,22.9383
mode,2,11.4666
mode,3,7.66394
mode,4,5.74542
mode,5,4.59026
mode,6,3.89215
mode,7,3.28388
mode,8,2.94008
mode,9,2.62658
mode,10,2.32654
mode,11,2.14284
mode,12,1.96696
mode,13,1.79413
mode,14,1.6942
mode,15,1.55762
mode,16,1.50139
mode,17,1.37809
mode,18,1.31914
mode,19,1.23428
mode,20,1.18886
mode,21,1.11879
mode,22,1.06572
mode,23,1.04099
mode,24,0.978329
mode,25,0.949304
mode,26,0.924042
mode,27,0.870189
mode,28,0.845678
mode,29,0.828518
mode,30,0.800099
mode,31,0.765325
mode,32,0.745724
overlapping-ranges,0,28.8854
overlapping-ranges,1,37.1074
overlapping-ranges,2,19.4061
overlapping-ranges,3,12.9657
overlapping-ranges,4,10.2753
overlapping-ranges,5,8.24636
overlapping-ranges,6,7.05112
overlapping-ranges,7,5.79214
overlapping-ranges,8,5.15515
overlapping-ranges,9,4.43242
overlapping-ranges,10,3.95222
overlapping-ranges,11,3.65024
overlapping-ranges,12,3.3561
overlapping-ranges,13,3.14742
overlapping-ranges,14,2.87766
overlapping-ranges,15,2.60385
overlapping-ranges,16,2.50527
overlapping-ranges,17,2.34226
overlapping-ranges,18,2.24088
overlapping-ranges,19,2.10789
overlapping-ranges,20,2.00492
overlapping-ranges,21,1.93831
overlapping-ranges,22,1.80748
overlapping-ranges,23,1.75707
overlapping-ranges,24,1.69667
overlapping-ranges,25,1.57157
overlapping-ranges,26,1.52347
overlapping-ranges,27,1.43927
overlapping-ranges,28,1.45285
overlapping-ranges,29,1.2867
overlapping-ranges,30,1.22184
overlapping-ranges,31,1.20937
overlapping-ranges,32,1.14299
pyramid-ranges,0,28.835
pyramid-ranges,1,37.0289
pyramid-ranges,2,19.777
pyramid-ranges,3,13.1456
pyramid-ranges,4,11.0327
pyramid-ranges,5,8.76824
pyramid-ranges,6,6.70318
pyramid-ranges,7,5.64991
pyramid-ranges,8,5.19204
pyramid-ranges,9,4.51037
pyramid-ranges,10,3.98934
pyramid-ranges,11,3.64143
pyramid-ranges,12,3.39058
pyramid-ranges,13,3.11557
pyramid-ranges,14,2.80239
pyramid-ranges,15,2.64683
pyramid-ranges,16,2.48127
pyramid-ranges,17,2.47245
pyramid-ranges,18,2.15118
pyramid-ranges,19,2.08963
pyramid-ranges,20,1.89415
pyramid-ranges,21,1.87031
pyramid-ranges,22,1.90263
pyramid-ranges,23,1.7904
pyramid-ranges,24,1.64946
pyramid-ranges,25,1.58344
pyramid-ranges,26,1.4153
pyramid-ranges,27,1.42651
pyramid-ranges,28,1.36347
pyramid-ranges,29,1.42643
pyramid-ranges,30,1.31203
pyramid-ranges,31,1.34267
pyramid-ranges,32,1.15583
increasing-ranges,0,28.8544
increasing-ranges,1,43.5508
increasing-ranges,2,23.6071
increasing-ranges,3,17.1591
increasing-ranges,4,12.3458
increasing-ranges,5,9.60558
increasing-ranges,6,8.28983
increasing-ranges,7,6.82236
increasing-ranges,8,5.80442
increasing-ranges,9,5.24976
increasing-ranges,10,4.57376
increasing-ranges,11,4.46738
increasing-ranges,12,4.04075
increasing-ranges,13,3.50243
increasing-ranges,14,3.37728
increasing-ranges,15,3.18494
increasing-ranges,16,2.85576
increasing-ranges,17,2.86321
increasing-ranges,18,2.63273
increasing-ranges,19,2.48206
increasing-ranges,20,2.35953
increasing-ranges,21,2.22808
increasing-ranges,22,2.11861
increasing-ranges,23,2.03065
increasing-ranges,24,1.96045
increasing-ranges,25,1.8435
increasing-ranges,26,1.77645
increasing-ranges,27,1.73131
increasing-ranges,28,1.67508
increasing-ranges,29,1.6174
increasing-ranges,30,1.5129
increasing-ranges,31,1.51595
increasing-ranges,32,1.51589
max-balanced-substr,0, 13.4674
max-balanced-substr,1, 15.2751
max-balanced-substr,2, 7.63124
max-balanced-substr,3, 5.06825
max-balanced-substr,4, 3.81055
max-balanced-substr,5, 3.04995
max-balanced-substr,6, 2.54224
max-balanced-substr,7, 2.18351
max-balanced-substr,8, 1.93262
max-balanced-substr,9, 1.72732
max-balanced-substr,10, 1.55313
max-balanced-substr,11, 1.42299
max-balanced-substr,12, 1.29296
max-balanced-substr,13, 1.21126
max-balanced-substr,14, 1.10903
max-balanced-substr,15, 1.05038
max-balanced-substr,16, 0.973448
max-balanced-substr,17, 0.917041
max-balanced-substr,18, 0.878752
max-balanced-substr,19, 0.821359
max-balanced-substr,20, 0.780236
max-balanced-substr,21, 0.763482
max-balanced-substr,22, 0.70941
max-balanced-substr,23, 0.680645
max-balanced-substr,24, 0.65636
