Example name N-M-L,1,2,3,4,6,8,10,12,16
MaxTopBox 18-6-6,1.0,1.87882702881,2.0959435567,2.22509255948,2.58290359288,3.67392741213,4.21836211549,4.81389673675,4.69876168435
MaxTopBox 11-8-8,1.0,1.40226032431,1.8151125328,2.6865892981,3.20311118681,4.17020225165,5.78094603793,5.85318933563,8.16471921076
MaxTopBox 9-10-10,1.0,1.23443482313,1.79411353057,2.67517145622,3.86766169396,4.7483793876,5.58794888471,6.6273353819,7.91554205468
MaxTopBox 11-10-6,1.0,1.70441611153,2.11594599775,2.82486275035,4.26067217469,5.99421276244,6.65671144601,7.50557322907,8.39155067243
MaxTopBox 10-10-7,1.0,1.4272402187,2.31623271421,2.85791646295,3.931155719,5.64487244839,6.66145907715,7.64581412021,8.81807592423
MTLR 12-10,1.0,1.43771272104,1.9585159879,2.64270981065,3.69613915744,4.47235500858,5.18498351472,5.38727819304,6.15151730821
MaxTopStrip 12-10,1.0,1.88426151097,2.38491239573,3.05995784397,4.03900013572,5.00960250966,5.71552032684,5.50623596592,6.50178748759
MTLR 15-13,1.0,1.68781965877,2.47497575519,3.35151522866,4.63183789315,5.90416426847,7.00523708798,7.68848525554,9.61725313527
MaxTopStrip 15-13,1.0,2.00930358228,2.60407948875,3.62952779924,4.98143388879,5.62844369992,6.76153919591,8.04519195401,9.3460238198
MTLR 14-14,1.0,1.70022739597,2.48830179713,3.06657150352,4.25450883147,5.48236525836,6.37375269958,7.41810132809,8.77164410891
MaxTopStrip 14-14,1.0,1.54950930284,2.46012155213,2.68426767327,4.13448403973,4.4693283765,6.48366735548,6.77098919521,9.17065422515
MTLR 13-15,1.0,1.7525524479,2.48542332933,3.06634174558,4.40562562473,5.66779727138,6.84206165787,8.03870035657,8.93376073242
MaxTopStrip 13-15,1.0,1.60231727054,1.88815579147,2.79086042969,3.87158717296,4.89494990776,6.41879281656,7.69491517809,7.87695456218
MTLR 12-16,1.0,1.72345003885,2.46468688804,3.10132712299,4.53158509581,5.6441104934,6.83237161372,8.05595879548,9.07044514632
MaxTopStrip 12-16,1.0,1.47797297595,2.15084171628,2.46577035098,3.65226087515,4.78714198816,5.60873558526,7.05432310221,8.14251885315
