name,threads,time
max-left-box,41,3.46888
max-left-box,42,2.88187
max-left-box,43,2.14689
max-left-box,44,3.90005
max-left-box,45,1.67113
max-left-box,46,2.92716
max-left-box,47,4.59151
max-left-box,48,3.51025
max-left-box,49,5.02208
max-left-box,50,1.98729
max-left-box,51,4.27909
max-left-box,52,3.4893
max-left-box,53,4.63785
max-left-box,54,3.62273
max-left-box,55,5.70423
max-left-box,56,1.76922
max-left-box,57,5.99894
max-left-box,58,1.27473
max-left-box,59,3.64885
max-left-box,60,6.03494
max-left-box,61,1.62356
max-left-box,62,6.0641
max-left-box,63,6.28127
max-left-box,64,1.06439
mtlr,0,20.7196
mtlr,1,36.3774
mtlr,2,19.8707
mtlr,3,12.903
mtlr,4,10.5119
mtlr,5,8.34357
mtlr,6,6.95467
mtlr,7,5.94173
mtlr,8,5.21075
mtlr,9,4.83302
mtlr,10,4.20507
mtlr,11,3.90877
mtlr,12,3.57197
mtlr,13,3.42053
mtlr,14,3.23168
mtlr,15,2.97427
mtlr,16,2.773
mtlr,17,2.70013
mtlr,18,2.51376
mtlr,19,2.66087
mtlr,20,2.50814
mtlr,21,2.29663
mtlr,22,2.34331
mtlr,23,2.34861
mtlr,24,2.18581
mtlr,25,2.17862
mtlr,26,2.04722
mtlr,27,1.96395
mtlr,28,2.15863
mtlr,29,2.18506
mtlr,30,1.94613
mtlr,31,2.40452
mtlr,32,2.13525
mtlr,33,2.43343
mtlr,34,2.04866
mtlr,35,1.89934
mtlr,36,2.18727
mtlr,37,2.22505
mtlr,38,2.00792
mtlr,39,2.98834
mtlr,40,1.73887
mtlr,41,2.36902
mtlr,42,2.74256
mtlr,43,2.269
mtlr,44,3.37187
mtlr,45,2.07107
mtlr,46,2.694
mtlr,47,3.46736
mtlr,48,2.94787
mtlr,49,2.71757
mtlr,50,2.92897
mtlr,51,4.61401
mtlr,52,2.47541
mtlr,53,5.14495
mtlr,54,5.49819
mtlr,55,5.47199
mtlr,56,5.7794
mtlr,57,3.63479
mtlr,58,6.32649
mtlr,59,2.10171
mtlr,60,3.62843
mtlr,61,1.92713
mtlr,62,4.39832
mtlr,63,4.62097
mtlr,64,7.35868
mtlr,0,20.7102
mtlr,1,36.3544
mtlr,2,19.68
mtlr,3,14.3286
mtlr,4,10.4696
mtlr,5,8.74459
mtlr,6,6.96242
mtlr,7,6.00416
mtlr,8,5.1304
mtlr,9,4.74976
mtlr,10,4.28354
mtlr,11,3.91461
mtlr,12,3.5449
mtlr,13,3.41677
mtlr,14,3.30309
mtlr,15,2.96462
mtlr,16,2.97176
mtlr,17,2.75939
mtlr,18,2.65595
